Compound.ID,Name,Super.Class,Class,n_genes,n_cell_types
Amide-Neg-000332,Dl-Xylose,Organic oxygen compounds,Organooxygen compounds,37,4
C8-Pos-004019,Pa(18:1_20:0),Lipids and lipid-like molecules,Glycerophospholipids,37,2
C8-Pos-001222,Peg N8,Organic oxygen compounds,Organooxygen compounds,32,3
C8-Pos-005692,Pc(22:3cho_27:6),Lipids and lipid-like molecules,Glycerophospholipids,32,2
Amide-Pos-001703,Guanosine 5'-Diphosphate (Gdp),"Nucleosides, nucleotides, and analogues",Purine nucleotides,30,3
C8-Neg-003529,Ps 22:6_22:6,Lipids and lipid-like molecules,Glycerophospholipids,27,6
C8-Pos-000593,Glycerol Monopalmitate,Lipids and lipid-like molecules,Glycerolipids,27,4
C8-Pos-005188,Pe(22:2_21:4cooh),Lipids and lipid-like molecules,Glycerophospholipids,27,4
Amide-Pos-000025,Putrescine,Organic nitrogen compounds,Organonitrogen compounds,26,4
Amide-Pos-000244,3-Isopropoxypropylamine,Organic oxygen compounds,Organooxygen compounds,26,1
C18-Pos-000645,Diethyl Phosphate,Organic acids and derivatives,Organic phosphoric acids and derivatives,26,2
C8-Pos-000245,Monolaurin,Lipids and lipid-like molecules,Glycerolipids,26,2
C8-Pos-000335,Galaxolidone,Organoheterocyclic compounds,Benzopyrans,26,4
C8-Pos-004871,Pe(20:5_22:2),Lipids and lipid-like molecules,Glycerophospholipids,26,3
Amide-Neg-000297,O-Acetylserine,Organic acids and derivatives,Carboxylic acids and derivatives,25,2
Amide-Pos-000167,Amifampridine,Organoheterocyclic compounds,Pyridines and derivatives,25,4
C8-Pos-001637,"2,5-Bis(5-Tert-Butyl-Benzoxazol-2-Yl)Thiophene",Organoheterocyclic compounds,Benzoxazoles,25,6
C8-Pos-003050,Tg(29:3cooh_2:0),Lipids and lipid-like molecules,Glycerolipids,25,4
C8-Pos-004631,Pc(15:1cho_22:2),Lipids and lipid-like molecules,Glycerophospholipids,25,1
Amide-Pos-001195,"Dodecanamide,N-[3-(Dimethyloxidoamino)Propyl]",Lipids and lipid-like molecules,Fatty Acyls,24,2
C8-Pos-002923,2-(5-Oxovaleryl)Phosphatidylcholine,Lipids and lipid-like molecules,Glycerophospholipids,24,1
C8-Pos-004870,Pe(15:0_27:7),Lipids and lipid-like molecules,Glycerophospholipids,24,2
C8-Pos-005755,Pc(36:6_13:4cooh),Lipids and lipid-like molecules,Glycerophospholipids,24,2
C8-Neg-003479,Ps(18:0_24:6),Lipids and lipid-like molecules,Glycerophospholipids,23,1
Amide-Neg-000032,Pyruvic Acid,Organic acids and derivatives,Keto acids and derivatives,22,3
Amide-Pos-000718,Ethyl 3-Oxo-3-(1h-Pyrazol-5-Ylamino)Propanoate,Organic nitrogen compounds,Organonitrogen compounds,22,5
Amide-Pos-000616,Ser-Ser,Organic acids and derivatives,Carboxylic acids and derivatives,21,2
C8-Pos-003535,Pe 16:1_16:1,Lipids and lipid-like molecules,Glycerophospholipids,21,5
C8-Pos-000820,Docosanamide,Lipids and lipid-like molecules,Fatty Acyls,20,2
Amide-Pos-000092,3-[(2-Hydroxyethyl)Amino]-1-Propanol,Organic nitrogen compounds,Organonitrogen compounds,19,3
C18-Pos-000832,L-Tyrosine,Organic acids and derivatives,Carboxylic acids and derivatives,19,2
C8-Pos-001073,Cer(D15:2_7:0),Lipids and lipid-like molecules,Sphingolipids,19,3
C8-Pos-003357,Dg(4:0_34:6),Lipids and lipid-like molecules,Glycerolipids,19,2
C8-Pos-004362,"1,3,5-Tris(3,5-Di-Tert-Butyl-4-Hydroxybenzyl)-1,3,5-Triazine-2,4,6(1h,3h,5h)-Trione",Benzenoids,Benzene and substituted derivatives,19,3
C8-Pos-005152,Pc(10:0cooh_30:8),Lipids and lipid-like molecules,Glycerophospholipids,19,2
C8-Neg-003538,Pc(20:4cooh_23:6),Lipids and lipid-like molecules,Glycerophospholipids,18,3
C8-Pos-000470,Peg N13,Organic oxygen compounds,Organooxygen compounds,18,4
C8-Pos-001359,Gly-Met-Arg,Organic acids and derivatives,Carboxylic acids and derivatives,18,5
C18-Neg-001640,2'-Guanylic Acid,Organic oxygen compounds,Organooxygen compounds,17,1
C8-Pos-002320,Peg N11,Organic oxygen compounds,Organooxygen compounds,17,4
C8-Pos-004263,Tg(32:4cooh_12:0),Lipids and lipid-like molecules,Glycerolipids,17,2
Amide-Neg-000141,"2,6-Dihydroxypyridine Hcl",Organoheterocyclic compounds,Pyridines and derivatives,16,7
Amide-Pos-000599,1-Methylhistidine,Organic acids and derivatives,Carboxylic acids and derivatives,16,7
C8-Pos-000337,Geranyllinalool,Lipids and lipid-like molecules,Prenol lipids,16,4
Amide-Neg-000108,2-Oxobutanoic Acid,Organic acids and derivatives,Keto acids and derivatives,15,2
C18-Pos-003241,Oleoyl-L-Carnitine,Lipids and lipid-like molecules,Fatty Acyls,15,3
Amide-Neg-000729,L-Ascorbic Acid,Organoheterocyclic compounds,Dihydrofurans,14,4
C8-Neg-003628,Pc(30:8_11:3cooh),Lipids and lipid-like molecules,Glycerophospholipids,14,4
C8-Pos-000327,Methyl Palmitate,Lipids and lipid-like molecules,Fatty Acyls,14,3
C8-Pos-000414,Piperine,Alkaloids and derivatives,NA,14,3
C8-Pos-003127,Pc(6:0_17:0cho),Lipids and lipid-like molecules,Glycerophospholipids,14,2
Amide-Pos-000467,Acetylcholine,Organic nitrogen compounds,Organonitrogen compounds,13,2
Amide-Pos-000866,Pro-Asp,Organic acids and derivatives,Carboxylic acids and derivatives,13,1
C8-Pos-004202,Pe(18:0_20:4),Lipids and lipid-like molecules,Glycerophospholipids,13,2
Amide-Pos-001056,Thiamine,Organoheterocyclic compounds,Diazines,12,3
Amide-Pos-001625,Glu-Glu-Glu,Organic acids and derivatives,Carboxylic acids and derivatives,12,3
C8-Pos-000080,Ketamine,Benzenoids,Benzene and substituted derivatives,12,1
